"","day","time","Power.MW."
"1","01/01/06","09:00",37.7
"2","01/02/06","09:00",30
"3","01/03/06","09:00",37.3
"4","01/04/06","09:00",61.1
"5","01/05/06","09:00",58.5
"6","01/06/06","09:00",62.5
"7","01/07/06","09:00",67.1
"8","01/08/06","09:00",58.8
"9","01/09/06","09:00",65.3
"10","01/10/06","09:00",42.9
"11","01/11/06","09:00",14.8
"12","01/12/06","09:00",47.9
"13","01/13/06","09:00",60.3
"14","01/14/06","09:00",62.9
"15","01/15/06","09:00",22.3
"16","01/16/06","09:00",61
"17","01/17/06","09:00",45.3
"18","01/18/06","09:00",30
"19","01/19/06","09:00",59.9
"20","01/20/06","09:00",9.5
"21","01/21/06","09:00",44.3
"22","01/22/06","09:00",69.9
"23","01/23/06","09:00",65.5
"24","01/24/06","09:00",62.2
"25","01/25/06","09:00",66.6
"26","01/26/06","09:00",28.7
"27","01/27/06","09:00",55.9
"28","01/28/06","09:00",37
"29","01/29/06","09:00",26.4
"30","01/30/06","09:00",57.3
"31","01/31/06","09:00",3.8
"32","02/01/06","09:00",38.2
"33","02/02/06","09:00",36.1
"34","02/03/06","09:00",67
"35","02/04/06","09:00",1.9
"36","02/05/06","09:00",70.7
"37","02/06/06","09:00",70.2
"38","02/07/06","09:00",69.4
"39","02/08/06","09:00",69.5
"40","02/09/06","09:00",69.1
"41","02/10/06","09:00",72.6
"42","02/11/06","09:00",66.2
"43","02/12/06","09:00",73.1
"44","02/13/06","09:00",71.1
"45","02/14/06","09:00",73.2
"46","02/15/06","09:00",15.5
"47","02/16/06","09:00",61.1
"48","02/17/06","09:00",57.4
"49","02/18/06","09:00",8.6
"50","02/19/06","09:00",0
"51","02/20/06","09:00",58.5
"52","02/21/06","09:00",77.1
"53","02/22/06","09:00",75.2
"54","02/23/06","09:00",80.1
"55","02/24/06","09:00",77.8
"56","02/25/06","09:00",61.9
"57","02/26/06","09:00",9.6
"58","02/27/06","09:00",5.4
"59","02/28/06","09:00",16.9
"60","03/01/06","09:00",74.1
"61","03/02/06","09:00",37.8
"62","03/03/06","09:00",22.1
"63","03/04/06","09:00",64.9
"64","03/05/06","09:00",80.8
"65","03/06/06","09:00",78.3
"66","03/07/06","09:00",62.4
"67","03/08/06","09:00",70.1
"68","03/09/06","09:00",50.7
"69","03/10/06","09:00",31.5
"70","03/11/06","09:00",76.7
"71","03/12/06","09:00",66.7
"72","03/13/06","09:00",56.2
"73","03/14/06","09:00",16.9
"74","03/15/06","09:00",48.9
"75","03/16/06","09:00",85.1
"76","03/17/06","09:00",33.4
"77","03/18/06","09:00",61.8
"78","03/19/06","09:00",81.5
"79","03/20/06","09:00",26.7
"80","03/21/06","09:00",83.2
"81","03/22/06","09:00",79
"82","03/23/06","09:00",20.4
"83","03/24/06","09:00",55.5
"84","03/25/06","09:00",87.2
"85","03/26/06","09:00",95.8
"86","03/27/06","09:00",42.2
"87","03/28/06","09:00",36.6
"88","03/29/06","09:00",60.1
"89","03/30/06","09:00",50.7
"90","03/31/06","09:00",69.4
"91","04/01/06","09:00",41.5
"92","04/02/06","09:00",47.8
"93","04/03/06","09:00",38.7
"94","04/04/06","09:00",41.5
"95","04/05/06","09:00",79.3
"96","04/06/06","09:00",92
"97","04/07/06","09:00",81.6
"98","04/08/06","09:00",62.8
"99","04/09/06","09:00",35.8
"100","04/10/06","09:00",58.1
"101","04/11/06","09:00",63.6
"102","04/12/06","09:00",25
"103","04/13/06","09:00",82.9
"104","04/14/06","09:00",68.1
"105","04/15/06","09:00",76.4
"106","04/16/06","09:00",44.5
"107","04/17/06","09:00",33.6
"108","04/18/06","09:00",79
"109","04/19/06","09:00",72.5
"110","04/20/06","09:00",88.4
"111","04/21/06","09:00",16.9
"112","04/22/06","09:00",38.5
"113","04/23/06","09:00",16.7
"114","04/24/06","09:00",83.8
"115","04/25/06","09:00",66.8
"116","04/26/06","09:00",92.9
"117","04/27/06","09:00",93.3
"118","04/28/06","09:00",89.3
"119","04/29/06","09:00",88.3
"120","04/30/06","09:00",90.3
"121","05/01/06","09:00",87.1
"122","05/02/06","09:00",94.5
"123","05/03/06","09:00",80.6
"124","05/04/06","09:00",88.2
"125","05/05/06","09:00",90.7
"126","05/06/06","09:00",100.8
"127","05/07/06","09:00",87.4
"128","05/08/06","09:00",87.3
"129","05/09/06","09:00",91.4
"130","05/10/06","09:00",100.4
"131","05/11/06","09:00",56.5
"132","05/12/06","09:00",84.2
"133","05/13/06","09:00",70.9
"134","05/14/06","09:00",80.2
"135","05/15/06","09:00",41.2
"136","05/16/06","09:00",81
"137","05/17/06","09:00",82
"138","05/18/06","09:00",85
"139","05/19/06","09:00",17.1
"140","05/20/06","09:00",79.3
"141","05/21/06","09:00",61.1
"142","05/22/06","09:00",31.1
"143","05/23/06","09:00",37.5
"144","05/24/06","09:00",96.3
"145","05/25/06","09:00",89.4
"146","05/26/06","09:00",78.7
"147","05/27/06","09:00",17.7
"148","05/28/06","09:00",74.2
"149","05/29/06","09:00",89.6
"150","05/30/06","09:00",92.2
"151","05/31/06","09:00",102.1
"152","06/01/06","09:00",94
"153","06/02/06","09:00",60.1
"154","06/03/06","09:00",78.6
"155","06/04/06","09:00",85.7
"156","06/05/06","09:00",87.3
"157","06/06/06","09:00",70.8
"158","06/07/06","09:00",75.9
"159","06/08/06","09:00",90
"160","06/09/06","09:00",92.5
"161","06/10/06","09:00",90.7
"162","06/11/06","09:00",69.4
"163","06/12/06","09:00",47
"164","06/13/06","09:00",58.8
"165","06/14/06","09:00",93.1
"166","06/15/06","09:00",70
"167","06/16/06","09:00",85
"168","06/17/06","09:00",78.6
"169","06/18/06","09:00",75.5
"170","06/19/06","09:00",86
"171","06/20/06","09:00",77.1
"172","06/21/06","09:00",85.8
"173","06/22/06","09:00",81.8
"174","06/23/06","09:00",76.3
"175","06/24/06","09:00",74.8
"176","06/25/06","09:00",76.7
"177","06/26/06","09:00",70.5
"178","06/27/06","09:00",70.8
"179","06/28/06","09:00",24.4
"180","06/29/06","09:00",74.1
"181","06/30/06","09:00",66.2
"182","07/01/06","09:00",78.7
"183","07/02/06","09:00",78.6
"184","07/03/06","09:00",85
"185","07/04/06","09:00",79.7
"186","07/05/06","09:00",89.5
"187","07/06/06","09:00",81.7
"188","07/07/06","09:00",80.6
"189","07/08/06","09:00",71.3
"190","07/09/06","09:00",90.4
"191","07/10/06","09:00",90.7
"192","07/11/06","09:00",79.2
"193","07/12/06","09:00",81.7
"194","07/13/06","09:00",79.3
"195","07/14/06","09:00",80.3
"196","07/15/06","09:00",78.8
"197","07/16/06","09:00",89.6
"198","07/17/06","09:00",77.8
"199","07/18/06","09:00",77.7
"200","07/19/06","09:00",38.4
"201","07/20/06","09:00",76.1
"202","07/21/06","09:00",63.7
"203","07/22/06","09:00",85.5
"204","07/23/06","09:00",56.7
"205","07/24/06","09:00",78.7
"206","07/25/06","09:00",73
"207","07/26/06","09:00",86
"208","07/27/06","09:00",73.9
"209","07/28/06","09:00",85.7
"210","07/29/06","09:00",78.1
"211","07/30/06","09:00",83.1
"212","07/31/06","09:00",86.6
"213","08/01/06","09:00",76.3
"214","08/02/06","09:00",70.5
"215","08/03/06","09:00",82.3
"216","08/04/06","09:00",77.9
"217","08/05/06","09:00",81
"218","08/06/06","09:00",80.7
"219","08/07/06","09:00",75.7
"220","08/08/06","09:00",88.9
"221","08/09/06","09:00",87
"222","08/10/06","09:00",85.3
"223","08/11/06","09:00",84.7
"224","08/12/06","09:00",71
"225","08/13/06","09:00",83.5
"226","08/14/06","09:00",72.7
"227","08/15/06","09:00",78.8
"228","08/16/06","09:00",78.2
"229","08/17/06","09:00",79.8
"230","08/18/06","09:00",85
"231","08/19/06","09:00",84.4
"232","08/20/06","09:00",90.4
"233","08/21/06","09:00",74.5
"234","08/22/06","09:00",76.1
"235","08/23/06","09:00",76.3
"236","08/24/06","09:00",84.9
"237","08/25/06","09:00",80
"238","08/26/06","09:00",80.9
"239","08/27/06","09:00",79.3
"240","08/28/06","09:00",79.2
"241","08/29/06","09:00",74.8
"242","08/30/06","09:00",80.7
"243","08/31/06","09:00",85.1
"244","09/01/06","09:00",79.3
"245","09/02/06","09:00",85
"246","09/03/06","09:00",91.6
"247","09/04/06","09:00",77.5
"248","09/05/06","09:00",76.6
"249","09/06/06","09:00",80.4
"250","09/07/06","09:00",77.7
"251","09/08/06","09:00",80.4
"252","09/09/06","09:00",79.6
"253","09/10/06","09:00",76.5
"254","09/11/06","09:00",82.1
"255","09/12/06","09:00",82.7
"256","09/13/06","09:00",74.5
"257","09/14/06","09:00",76.4
"258","09/15/06","09:00",18.2
"259","09/16/06","09:00",85.8
"260","09/17/06","09:00",83.9
"261","09/18/06","09:00",74.6
"262","09/19/06","09:00",60.7
"263","09/20/06","09:00",87.3
"264","09/21/06","09:00",77.6
"265","09/22/06","09:00",99.3
"266","09/23/06","09:00",93.2
"267","09/24/06","09:00",82.3
"268","09/25/06","09:00",86.8
"269","09/26/06","09:00",81.9
"270","09/27/06","09:00",81.6
"271","09/28/06","09:00",78.2
"272","09/29/06","09:00",76.8
"273","09/30/06","09:00",75.6
"274","10/01/06","09:00",79.5
"275","10/02/06","09:00",54.6
"276","10/03/06","09:00",88.4
"277","10/04/06","09:00",81.3
"278","10/05/06","09:00",84.9
"279","10/06/06","09:00",82.9
"280","10/07/06","09:00",88.7
"281","10/08/06","09:00",82.1
"282","10/09/06","09:00",84.8
"283","10/10/06","09:00",44.4
"284","10/11/06","09:00",85.9
"285","10/12/06","09:00",84.4
"286","10/13/06","09:00",79.4
"287","10/14/06","09:00",85
"288","10/15/06","09:00",70.2
"289","10/16/06","09:00",59.8
"290","10/17/06","09:00",56.4
"291","10/18/06","09:00",90
"292","10/19/06","09:00",87.1
"293","10/20/06","09:00",78.3
"294","10/21/06","09:00",87.2
"295","10/22/06","09:00",84.3
"296","10/23/06","09:00",75.5
"297","10/24/06","09:00",79.3
"298","10/25/06","09:00",78.7
"299","10/26/06","09:00",79.7
"300","10/27/06","09:00",84.3
"301","10/28/06","09:00",76.3
"302","10/29/06","09:00",79.5
"303","10/30/06","09:00",81.5
"304","10/31/06","09:00",80.3
"305","11/01/06","09:00",1.8
"306","11/02/06","09:00",2.2
"307","11/03/06","09:00",38.1
"308","11/04/06","09:00",74.9
"309","11/05/06","09:00",36.4
"310","11/06/06","09:00",70.7
"311","11/07/06","09:00",78.4
"312","11/08/06","09:00",61.2
"313","11/09/06","09:00",74.1
"314","11/10/06","09:00",73.4
"315","11/11/06","09:00",77.3
"316","11/12/06","09:00",54.3
"317","11/13/06","09:00",24.5
"318","11/14/06","09:00",54
"319","11/15/06","09:00",54.4
"320","11/16/06","09:00",36
"321","11/17/06","09:00",35.9
"322","11/18/06","09:00",76.4
"323","11/19/06","09:00",51.9
"324","11/20/06","09:00",74.7
"325","11/21/06","09:00",5.3
"326","11/22/06","09:00",72.4
"327","11/23/06","09:00",58.4
"328","11/24/06","09:00",69.6
"329","11/25/06","09:00",73.7
"330","11/26/06","09:00",38.7
"331","11/27/06","09:00",39.6
"332","11/28/06","09:00",64.2
"333","11/29/06","09:00",75.3
"334","11/30/06","09:00",59.3
"335","12/01/06","09:00",55.6
"336","12/02/06","09:00",60.2
"337","12/03/06","09:00",71.9
"338","12/04/06","09:00",68.9
"339","12/05/06","09:00",66.7
"340","12/06/06","09:00",64.4
"341","12/07/06","09:00",66.3
"342","12/08/06","09:00",0.6
"343","12/09/06","09:00",58.9
"344","12/10/06","09:00",1.7
"345","12/11/06","09:00",52.8
"346","12/12/06","09:00",59.2
"347","12/13/06","09:00",27.6
"348","12/14/06","09:00",27.9
"349","12/15/06","09:00",25.4
"350","12/16/06","09:00",67.8
"351","12/17/06","09:00",54.8
"352","12/18/06","09:00",69.5
"353","12/19/06","09:00",61.5
"354","12/20/06","09:00",63.9
"355","12/21/06","09:00",41.4
"356","12/22/06","09:00",1
"357","12/23/06","09:00",24.9
"358","12/24/06","09:00",36.9
"359","12/25/06","09:00",57.7
"360","12/26/06","09:00",44.3
"361","12/27/06","09:00",0.5
"362","12/28/06","09:00",61.6
"363","12/29/06","09:00",63.5
"364","12/30/06","09:00",60.8
"365","12/31/06","09:00",46.6
